Data,Luogo,Cosa fare,Categoria,Priorità,Costo stimato USD,Link utile,Note
2026-07-04,San Francisco,Golden Gate Bridge / viewpoint,Vista,Alta,0,https://www.goldengate.org/bridge/visiting-the-bridge/,Viewpoint o tramonto se meteo ok. Possibile anche lato opposto ponte se avete auto.
2026-07-04,San Francisco,Palace of Fine Arts + Marina District,Vista,Alta,0,https://sfrecpark.org/Facilities/Facility/Details/Palace-of-Fine-Arts-69,Comodo nello stesso cluster del Golden Gate.
2026-07-04,San Francisco,Ghirardelli Square + Fisherman’s Wharf + Pier 39,Passeggiata,Alta,0,https://www.pier39.com/,Cluster turistico ma comodo; fare senza dedicarci mezza giornata.
2026-07-04,San Francisco,Lombard Street,Vista,Media,0,https://www.sftravel.com/things-to-do/attractions/iconic-sf/lombard-street,"Da fare se passa lungo il percorso, non come priorità assoluta."
2026-07-04,San Francisco,Cable car,Esperienza,Media,8 a corsa circa,https://www.sfmta.com/getting-around/muni/cable-cars,Coda variabile. Utile se volete fare esperienza classica senza usare troppo l’auto.
2026-07-05,San Francisco,Alcatraz Day Tour,Biglietto,Alta,47.95 a persona circa,https://www.cityexperiences.com/san-francisco/city-cruises/alcatraz/tour-options/,Prenotare prima; nella guida è indicato come esperienza che merita.
2026-07-05,San Francisco,Ferry Building + Embarcadero,Passeggiata,Alta,0,https://www.ferrybuildingmarketplace.com/,Comodo prima/dopo zona Pier/Alcatraz.
2026-07-05,San Francisco,Chinatown + North Beach,Quartiere,Media,0,https://www.sftravel.com/things-to-do/attractions/neighborhoods/chinatown,Da collegare con Coit Tower/Ferry Building se logisticamente comodo.
2026-07-05,San Francisco,Coit Tower,Vista,Media,10-15 circa,https://sfrecpark.org/Facilities/Facility/Details/Coit-Tower-290,Vista bella; salire solo se avete tempo e meteo pulito.
2026-07-05,San Francisco,Mission murals: Women’s Building + Clarion Alley,Quartiere,Media,0,https://clarionalleymuralproject.org/,Street art; meglio di giorno.
2026-07-05,San Francisco,Painted Ladies / Alamo Square,Vista,Media,0,https://sfrecpark.org/Facilities/Facility/Details/Alamo-Square-151,"Stop rapido, buono se passate da Mission/Haight."
2026-07-05,San Francisco,Haight-Ashbury + Golden Gate Park,Quartiere/parco,Media,0,https://sfrecpark.org/770/Golden-Gate-Park,Scegliere solo una parte del parco: è grande.
2026-07-05,San Francisco,De Young Museum / Hamon Observation Tower,Museo/vista,Bassa,20-25 circa,https://www.famsf.org/visit/de-young,La guida segnala che il ticket può includere anche Legion of Honor lo stesso giorno. Controllare prezzi/aperture.
2026-07-05,San Francisco,SFMOMA,Museo,Bassa,30 circa,https://www.sfmoma.org/visit/,Opzionale solo se meteo brutto o interesse musei.
2026-07-05,San Francisco,Twin Peaks,Vista,Bassa,0,https://sfrecpark.org/Facilities/Facility/Details/Twin-Peaks-384,Extra se c’è visibilità e avete auto.
2026-07-06,San Francisco → Santa Barbara,Guidare con luce + massimo 1-2 soste,Trasferimento,Alta,benzina/parcheggi,"https://www.google.com/maps/dir/San+Francisco,+CA/Santa+Barbara,+CA","Consiglio guida: paesaggio bello, meglio evitare di arrivare troppo tardi."
2026-07-06,Monterey / Carmel,Sosta Monterey/Carmel,Sosta opzionale,Bassa,0+,https://www.google.com/maps/search/Monterey+Carmel+California,Solo se partenza presto; altrimenti tirate verso Santa Barbara.
2026-07-06,San Luis Obispo / Pismo Beach,Sosta San Luis Obispo o Pismo Beach,Sosta opzionale,Media,0+,https://www.google.com/maps/search/San+Luis+Obispo+Pismo+Beach,Più compatibile con US-101 rispetto alla costa lenta.
2026-07-06,Santa Barbara,Waterfront / Stearns Wharf,Passeggiata,Media,0,https://stearnswharf.org/,Da fare la sera se arrivate non troppo tardi.
2026-07-07,Santa Barbara,Santa Barbara Courthouse / Stearns Wharf breve,Vista,Media,0,https://santabarbaraca.gov/government/departments/parks-recreation/parks/parks-recreation-facilities/courthouse-gardens,Fare breve prima di scendere verso LA.
2026-07-07,Los Angeles,Warner Bros Studio Tour,Biglietto,Media,70-80 circa,https://www.wbstudiotour.com/,La guida lo consiglia molto: set veri/ricostruiti e dietro le quinte. Inserirlo solo se accettate di sacrificare altro a LA.
2026-07-07,Los Angeles,Beverly Hills + Rodeo Drive + Beverly Gardens Park,Passeggiata,Alta,0+,https://lovebeverlyhills.com/things-to-do/view/beverly-gardens-park,Stop classico e compatibile con il giro verso Hollywood/Griffith.
2026-07-07,Los Angeles,Hollywood Walk of Fame,Stop rapido,Media,0+,https://www.walkoffame.com/,La guida dice quick stop: non perderci troppo tempo.
2026-07-07,Los Angeles,Griffith Observatory + vista Hollywood sign,Vista,Alta,0+,https://griffithobservatory.org/,Molto consigliato dalla guida. Parcheggio difficile vicino al tramonto; controllare chiusure/aperture.
2026-07-07,Los Angeles,Santa Monica Pier + Venice Beach,Passeggiata,Alta,0+ parcheggio,https://www.santamonica.com/places-to-go/santa-monica-pier/,Parcheggio spesso circa 20$/giorno; la guida consiglia di evitare dopo il tramonto.
2026-07-07,Los Angeles,Venice Canals + Venice Sign + Abbot Kinney,Quartiere,Media,0+ parcheggio,https://www.visitcalifornia.com/experience/venice-canals/,"Da fare con Santa Monica/Venice, meglio spostare l’auto se necessario."
2026-07-07,Los Angeles,"Downtown LA mini-giro: Union Station, Olvera Street, City Hall, Grand Central Market, Bradbury",Quartiere,Bassa,0+,https://www.discoverlosangeles.com/things-to-do/los-angeles-union-station,Solo se avete energie. Evitare Skid Row. City Hall/edifici: controllare aperture.
2026-07-07,Los Angeles,The Grove + LACMA Urban Light,Extra serale,Bassa,0+ parcheggio,https://www.lacma.org/urban-light,"Opzionale; Urban Light meglio la sera, ma non caricare troppo la giornata."
2026-07-07,Los Angeles,BestParking per parcheggi LA,Tool,Alta,variabile,https://www.bestparking.com/,"Utile per Santa Monica/Venice, Hollywood, Downtown."
2026-07-08,Las Vegas,Las Vegas Sign,Foto,Media,0,https://www.lasvegasnevada.gov/Residents/Parking-Transportation/Welcome-to-Las-Vegas-Sign,"Stop rapido entrando o uscendo, se comodo."
2026-07-08,Las Vegas,Bellagio fountains + Conservatory,Gratis,Alta,0,https://bellagio.mgmresorts.com/en/entertainment/fountains-of-bellagio.html,Classico; fontane e giardino interno gratis.
2026-07-08,Las Vegas,Venetian Resort / canali interni,Gratis,Alta,0+,https://www.venetianlasvegas.com/,La guida lo consiglia perché architettonicamente scenico.
2026-07-08,Las Vegas,Wynn / Lake of Dreams,Gratis,Media,0+,https://www.wynnlasvegas.com/entertainment/lake-of-dreams,Show serale gratuito/da verificare; opzionale se siete sulla Strip.
2026-07-08,Las Vegas,Sphere da fuori o evento,Vista/biglietto,Alta,0 da fuori / ticket variabile,https://www.thesphere.com/shows,Da fuori gratis. Dentro solo con ticket evento/film.
2026-07-08,Las Vegas,Fremont Street + Viva Vision,Gratis,Alta,0+,https://vegasexperience.com/,La guida dice diversa dalla Strip e pedonale. Viva Vision ogni sera.
2026-07-08,Las Vegas,Downtown Container Park,Gratis,Bassa,0+,https://downtowncontainerpark.com/,Opzionale se fate Fremont.
2026-07-08,Las Vegas,The Neon Museum,Biglietto,Bassa,20-30 circa,https://www.neonmuseum.org/,Interessante ma da prenotare/valutare solo se avete tempo.
2026-07-08,Las Vegas,Pawn Stars Gold & Silver Pawn Shop,Extra,Bassa,0+,https://gspawn.com/,Solo se siete fan; nella guida era stato fatto per interesse personale.
2026-07-08,Las Vegas,Akhob by James Turrell,Arte,Bassa,0 ma prenotazione obbligatoria,https://www.louisvuitton.com/eng-us/stories/akhob,Opzionale; gratuito ma prenotazione spesso necessaria.
2026-07-09,Las Vegas → Grand Canyon,Hoover Dam stop,Sosta opzionale,Media,parcheggio/tour variabile,https://www.usbr.gov/lc/hooverdam/,Compatibile con il trasferimento se partite presto.
2026-07-09,Route 66,Hackberry General Store / Seligman,Sosta opzionale,Media,0+,https://www.google.com/maps/search/Hackberry+General+Store+Seligman+Route+66,La guida segnala che Seligman/Hackberry sono stop tipici Route 66; non esagerare con le soste.
2026-07-09,Route 66 / Oatman,Oatman ghost town,Sosta opzionale,Bassa,0+,https://www.google.com/maps/search/Oatman+Arizona,"Leggero detour: inserirla solo se partite molto presto. Panorama bello secondo guida, città non imperdibile."
2026-07-09,Grand Canyon South Rim,Mather Point / Yavapai Point,Viewpoint,Alta,coperto dal pass,https://www.nps.gov/grca/planyourvisit/south-rim.htm,Punti comodi vicino Visitor Center.
2026-07-09,Grand Canyon South Rim,Powell Point → Hopi Point → Mohave Point,Passeggiata/viewpoint,Alta,coperto dal pass,https://www.nps.gov/grca/planyourvisit/shuttle-buses.htm,La guida lo consiglia; controllare shuttle perché andata/ritorno non fermano sempre uguale.
2026-07-09,Grand Canyon South Rim,Desert View Drive / Desert View Watchtower,Viewpoint,Alta,coperto dal pass,https://www.nps.gov/grca/planyourvisit/desert-view.htm,Da fare anche il giorno dopo uscendo verso Page.
2026-07-10,Grand Canyon → Page,Uscita da Desert View Drive verso Page,Trasferimento panoramico,Alta,0,"https://www.google.com/maps/dir/Grand+Canyon+Village,+AZ/Page,+AZ","Non fissarsi su un solo viewpoint: se meteo/nebbia cambia, provarne più di uno."
2026-07-10,Page,Horseshoe Bend,Vista,Alta,10 auto circa,https://cityofpage.org/official-horseshoe-bend-information,Must secondo guida; breve ma molto bello. Camminata dal parcheggio.
2026-07-10,Page,Lower Antelope Canyon,Biglietto,Alta,80-100+ a persona circa,https://www.antelopelowercanyon.com/,La guida ha fatto Lower e lo definisce stupendo. Prenotare slot e arrivare prima.
2026-07-10,Page,Upper Antelope Canyon,Biglietto,Media,100-120+ a persona circa,https://navajotours.com/,Alternativa più famosa/cara. Valutare in base a slot/prezzo.
2026-07-10,Page,Glen Canyon Dam / Lake Powell viewpoint,Vista,Bassa,0+,https://www.nps.gov/glca/planyourvisit/placestogo.htm,Extra breve se avete tempo prima/dopo Antelope.
2026-07-11,Kanab,Kanab breve stop / pranzo,Sosta opzionale,Bassa,0+,https://www.google.com/maps/search/Kanab+Utah+restaurants,Kanab è sulla direttrice verso Zion; non caricarlo troppo.
2026-07-11,Kanab,Little Hollywood Kanab,Sosta opzionale,Bassa,0+,https://www.littlehollywoodmuseum.org/,Solo se vi serve pausa; western set gratuito/rapido.
2026-07-11,Kanab,Sand Caves Kanab / Dinosaur Tracks,Mini-deviazione,Bassa,0,https://www.google.com/maps/search/Sand+Caves+Kanab+Dinosaur+Tracks,"Fattibile ma rischia di togliere tempo a Zion; scarpe adatte, evitare caldo forte."
2026-07-11,Zion,Zion-Mt. Carmel Highway,Strada panoramica,Alta,coperto dal pass,https://www.nps.gov/zion/planyourvisit/the-zion-mount-carmel-tunnel.htm,Arrivando da Page/Kanab è la strada scenica naturale.
2026-07-11,Zion,Canyon Overlook Trail,Mini-hike,Alta,coperto dal pass,https://www.nps.gov/thingstodo/hike-canyon-overlook.htm,Da fare assolutamente secondo guida; breve ma attenzione caldo/parcheggio.
2026-07-11,Zion,Shuttle Zion Canyon fino a Temple of Sinawava,Parco/shuttle,Alta,coperto dal pass,https://www.nps.gov/zion/planyourvisit/zion-canyon-shuttle-system.htm,Dopo Canyon Overlook bisogna parcheggiare e usare shuttle per lo Zion Canyon.
2026-07-11,Zion,Riverside Walk,Passeggiata,Alta,coperto dal pass,https://www.nps.gov/thingstodo/hike-riverside-walk.htm,"Facile e scenico; dopo inizia The Narrows, da fare solo se preparati."
2026-07-11,Springdale/Zion,Zion Canyon Brew Pub,Food,Media,variabile,https://www.zionbrewery.com/,Food/beverage consigliato nella guida come stop vicino Zion.
2026-07-11,Springdale/Zion,The Cave Café,Food,Bassa,variabile,https://www.google.com/maps/search/The+Cave+Cafe+Zion,"Opzione colazione/chai se comodo, controllare apertura."
2026-07-12,Zion → Salt Lake City,Partenza verso Salt Lake City senza deviazioni lunghe,Trasferimento,Alta,benzina,"https://www.google.com/maps/dir/Zion+National+Park,+UT/Salt+Lake+City,+UT",Niente deviazioni lunghe: arrivo a SLC come priorità.
